Chunk,Frame,PSNR (dB),SSIM
2,199,46.5037,0.997341
2,200,46.5022,0.997323
2,201,46.4998,0.997314
2,202,46.5007,0.997328
2,203,46.4965,0.997304
2,204,46.5003,0.997318
2,205,46.4987,0.997312
2,206,46.5044,0.997329
2,207,46.5189,0.997368
2,208,46.4948,0.997276
2,209,46.5061,0.997302
2,210,46.5035,0.997305
2,211,46.5041,0.99729
2,212,46.5051,0.997304
2,213,49.7424,0.99715
2,214,49.1578,0.996593
2,215,48.9251,0.996268
3,216,48.4039,0.995824
4,217,42.0155,0.995593
5,218,45.628,0.99611
6,219,45.8931,0.995958
6,220,42.3348,0.994742
6,221,42.8154,0.9925
6,222,39.2766,0.990407
7,223,45.8384,0.995805
8,224,45.8557,0.995978
9,225,46.1341,0.995579
10,226,46.1102,0.996378
11,227,46.2648,0.996244
11,228,44.0769,0.995345
12,229,46.1629,0.996105
13,230,46.2434,0.996507
14,231,46.1299,0.996235
15,232,46.4251,0.996661
16,233,49.8046,0.996238
17,234,47.3278,0.995402
18,235,44.4197,0.995591
19,236,46.5783,0.996398
20,237,46.4371,0.996186
21,238,46.5686,0.996577
22,239,45.901,0.994072
23,240,43.4832,0.99575
24,241,46.7907,0.996389
25,242,46.7151,0.996615
26,243,46.6832,0.996797
27,244,46.8723,0.996683
28,245,49.7661,0.996734
29,246,47.099,0.997094
30,247,46.7237,0.997089
31,248,46.2087,0.997317
32,249,46.8638,0.997655
32,250,46.5351,0.997722
33,251,46.5868,0.999549
33,252,46.0528,0.99952
33,253,46.5428,0.999524
33,254,46.6021,0.999525
33,255,46.6235,0.999525
33,256,46.9011,0.999498
33,257,47.2354,0.99951
33,258,48.8562,0.999481
33,259,49.5417,0.999477
33,260,49.7847,0.999484
33,261,50.108,0.999416
33,262,50.1988,0.999411
33,263,50.2485,0.999408
34,264,44.7228,0.999119
34,265,39.569,0.996637
35,266,45.6995,0.997106
36,267,45.7889,0.995818
37,268,44.8796,0.996088
38,269,45.5715,0.994881
39,270,45.5273,0.995287
40,271,45.0874,0.994834
41,272,45.0814,0.994864
42,273,44.5739,0.994604
43,274,44.5153,0.995013
43,275,39.0147,0.991003
44,276,44.5399,0.994048
44,277,39.3471,0.991705
45,278,44.567,0.993715
45,279,38.7299,0.989812
45,280,37.5646,0.986805
45,281,36.4047,0.983737
46,282,43.6258,0.993284
46,283,38.9749,0.989965
46,284,37.5504,0.987684
46,285,36.4633,0.984589
46,286,35.7021,0.982113
46,287,35.6975,0.979611
46,288,36.1364,0.979641
46,289,36.4305,0.979696
46,290,36.7841,0.979835
46,291,37.0482,0.980043
46,292,37.333,0.980405
46,293,37.5257,0.980744
46,294,37.5848,0.980991
46,295,37.858,0.981394
