Frame,PSNR,SSIM
268,43.8141,0.98945
269,43.3772,0.988021
270,42.8826,0.984977
271,40.938,0.981404
272,41.5585,0.982783
273,40.2669,0.979261
274,39.5294,0.976969
275,38.5349,0.974989
276,38.2717,0.973052
277,37.6552,0.971866
278,37.2832,0.971644
279,36.7152,0.969182
280,36.5218,0.969529
281,35.7974,0.968212
282,35.9638,0.969467
283,35.3302,0.967918
284,35.1991,0.968077
285,34.7782,0.967419
286,34.6515,0.967075
287,34.5326,0.967197
288,34,0.965904
289,34.4021,0.96739
290,34.8943,0.969795
291,34.9543,0.97012
292,36.8526,0.976304
293,36.8622,0.97674
294,37.0529,0.977315
295,37.6339,0.978895
296,37.6361,0.978961
297,37.7351,0.979264
298,37.7706,0.979355
299,38.8498,0.981547
300,38.8475,0.981653
301,38.9981,0.982
302,39.5406,0.982878
303,39.5408,0.983007
304,39.6524,0.983201
305,39.6927,0.983287
306,40.5697,0.984568
307,40.2282,0.984279
308,41.0765,0.985321
309,41.0115,0.985239
310,41.3106,0.985523
311,41.2243,0.985431
312,41.2634,0.985549
313,41.2244,0.985584
314,41.5343,0.985941
315,41.5827,0.986054
316,41.6363,0.986093
317,42.8158,0.987501
318,41.9773,0.987015
319,42.769,0.987647
320,42.7275,0.987599
321,42.757,0.987696
322,42.7503,0.987714
323,42.7735,0.987703
324,42.7382,0.987616
325,42.7678,0.987792
326,42.8241,0.98785
327,42.8593,0.987845
328,42.8152,0.987743
329,42.6707,0.987763
330,42.7211,0.987768
331,42.6756,0.987713
332,43.8816,0.988774
333,42.5382,0.987981
334,43.0338,0.98828
335,43.1254,0.988391
336,43.1133,0.988209
337,42.9688,0.988216
338,42.8802,0.988128
339,42.8389,0.988101
340,42.7824,0.987874
341,42.7948,0.988035
342,42.7277,0.987959
343,42.7218,0.987967
344,42.7005,0.987839
345,42.6635,0.987915
346,42.5531,0.987745
347,43.7106,0.988894
348,42.9592,0.988271
349,43.6897,0.988896
350,43.6015,0.988858
351,43.2439,0.988565
352,43.069,0.988282
353,42.9819,0.988329
354,42.918,0.98825
355,42.8794,0.988223
356,42.7628,0.987989
357,42.7648,0.988054
358,42.7448,0.988066
359,42.8036,0.988079
360,42.8309,0.988048
361,42.649,0.987967
362,42.8227,0.988043
363,42.4393,0.987826
364,42.3259,0.987715
365,42.3115,0.987672
366,42.2367,0.987462
367,42.2316,0.987517
368,42.2851,0.987603
369,42.191,0.987547
370,41.9258,0.98712
371,41.7843,0.987112
372,41.922,0.987147
373,41.8287,0.986997
374,41.8309,0.987122
375,41.4192,0.986684
376,41.4353,0.986664
377,41.4852,0.986616
378,41.813,0.987118
379,40.8391,0.986173
380,41.6853,0.987042
381,40.9362,0.986188
382,41.8161,0.987122
383,41.7023,0.987078
384,41.8125,0.987109
385,44.0607,0.990185
386,43.1466,0.989615
387,42.7483,0.989133
388,42.6886,0.989019
389,42.7769,0.988994
390,43.0301,0.989279
391,42.9558,0.989135
392,42.3695,0.988585
393,42.2981,0.988339
394,42.2146,0.988412
395,42.1215,0.988166
396,42.0745,0.988184
397,41.8243,0.987736
398,41.8567,0.987859
399,41.9047,0.987707
400,41.9994,0.987895
401,41.7204,0.987385
402,41.6473,0.987336
403,41.4751,0.986991
404,41.1457,0.986537
405,40.9608,0.986424
406,41.013,0.986369
407,41.0958,0.986362
408,41.2207,0.986606
409,41.1108,0.986327
410,40.9609,0.986074
411,40.6632,0.985558
412,40.5573,0.985522
413,40.4701,0.985298
414,40.6152,0.985368
415,40.7935,0.985824
416,40.3896,0.985166
417,40.4178,0.985278
418,40.0144,0.984491
419,40.2763,0.984861
420,40.7761,0.985697
421,40.3699,0.985108
422,40.1913,0.984674
423,40.2812,0.984876
424,40.2564,0.98469
425,40.34,0.984793
426,39.9602,0.984142
427,39.5787,0.983711
428,39.2292,0.982916
429,39.1318,0.982844
430,39.0642,0.982653
431,39.0981,0.982702
432,39.2827,0.982935
433,38.6438,0.981978
434,38.3445,0.981243
435,38.6495,0.981938
436,38.6854,0.981851
437,38.2155,0.981045
438,37.8893,0.980201
439,38.2235,0.980951
440,38.2203,0.980845
441,37.8892,0.980254
442,37.5707,0.979417
443,37.8762,0.980062
444,37.8287,0.97988
445,39.0733,0.982505
446,38.2052,0.980723
447,38.8892,0.982007
448,38.3609,0.980969
449,38.444,0.981169
450,37.8572,0.979692
451,38.1968,0.980604
452,37.9277,0.979935
453,37.6938,0.979335
454,37.3672,0.978462
455,37.4903,0.978804
456,37.4921,0.978726
457,37.1189,0.977601
458,36.7807,0.976568
459,37.0663,0.977409
460,38.51,0.980511
461,36.8757,0.976784
462,37.5572,0.978239
463,37.2808,0.977915
464,37.7997,0.978554
465,36.9914,0.976671
466,36.848,0.975997
467,36.8576,0.975997
468,37.0232,0.97629
469,36.7245,0.975187
470,36.7834,0.975289
471,36.6696,0.974719
472,36.6997,0.974789
473,36.4048,0.973582
474,36.465,0.973904
475,37.7845,0.977939
476,36.8958,0.976006
477,37.3001,0.976831
478,36.8762,0.975932
479,37.2088,0.976532
480,36.2406,0.973743
481,36.0077,0.972748
482,36.2111,0.973349
483,36.5012,0.974275
484,36.1247,0.972947
485,35.8313,0.971866
486,35.3498,0.969988
487,35.7173,0.971252
488,35.8008,0.971194
489,35.7881,0.971148
490,35.8257,0.971037
491,35.3383,0.969388
492,34.9954,0.967932
493,35.2511,0.968619
494,35.2933,0.968557
495,35.0956,0.967502
496,35.0498,0.967141
497,34.9863,0.966576
498,35.0271,0.96689
499,34.7476,0.965513
500,32.9508,0.954343
501,35.1918,0.967308
502,34.1244,0.963225
503,34.9176,0.966097
504,34.9783,0.966384
505,34.8713,0.965591
506,34.9729,0.966125
507,34.8515,0.965329
508,34.9901,0.966117
509,34.6747,0.964356
510,34.7618,0.964799
511,34.6593,0.96405
512,34.7251,0.964364
513,39.3146,0.983884
514,38.4332,0.982104
515,38.4231,0.981688
516,37.8746,0.980471
517,37.3674,0.978876
518,37.0193,0.977843
519,37.0611,0.977589
520,36.6056,0.976241
521,36.3329,0.974926
522,36.1828,0.97448
523,36.178,0.974004
524,35.9848,0.973319
525,35.6581,0.971574
526,35.5043,0.970972
527,35.5125,0.970534
528,35.5633,0.970635
529,35.0754,0.968299
530,35.0996,0.968301
531,35.023,0.967544
532,35.1033,0.967761
533,34.708,0.965481
534,34.6899,0.965438
535,34.5931,0.964608
536,34.6947,0.965077
537,34.3528,0.963033
538,34.3805,0.963021
539,34.2523,0.961905
540,34.4622,0.962821
541,34.0305,0.960234
542,34.129,0.960625
543,35.48,0.967875
544,34.9607,0.96575
545,34.7071,0.964087
546,34.6949,0.963827
547,34.7179,0.963604
548,34.5621,0.962859
549,34.3863,0.96149
550,34.3003,0.960955
551,34.2942,0.960267
552,34.2784,0.959805
553,34.0619,0.958236
554,33.957,0.957494
555,33.958,0.957137
556,33.9381,0.957008
557,33.7198,0.955256
558,35.2468,0.964661
559,34.6125,0.961373
560,34.8869,0.962652
561,34.4124,0.959905
562,34.4441,0.959814
563,34.3309,0.958914
564,34.3012,0.958562
565,34.0534,0.956744
566,34.0242,0.9565
567,33.8319,0.955114
568,33.9183,0.95554
569,33.5801,0.953126
570,33.5697,0.952827
571,33.3962,0.95148
572,33.5292,0.952272
573,34.772,0.960386
574,34.3408,0.958327
575,34.2857,0.957433
576,34.4904,0.958614
577,34.3108,0.957249
578,34.1454,0.956065
579,33.6813,0.953076
580,33.9334,0.954443
581,33.7075,0.952571
582,33.677,0.952211
583,33.5657,0.951057
584,33.8839,0.953177
585,33.6756,0.951576
586,33.5687,0.950525
587,33.213,0.947783
588,34.8869,0.959431
589,34.3142,0.956383
590,34.4056,0.956603
591,34.1476,0.954653
592,33.773,0.951923
593,33.5207,0.95031
594,33.3815,0.948706
595,32.7942,0.944558
596,33.3525,0.948171
597,33.3471,0.948065
598,33.2763,0.947134
